ad_id,origin,condition,car_model,mileage,exterior_color,interior_color,num_of_doors,seating_capacity,engine,fuel_system,transmission,drive_type,fuel_consumption,brand,grade,year_of_manufacture,car_name,price (AUD),type_of_engine,engine_capacity,normalised_engine_capacity,normalised_num_of_doors,normalised_seating_capacity,normalised_fuel_consumption,normalised_price (AUD)
3528457,domestic assembly,new car,suv,0,yellow,black,5,7,Petrol	2.5 L,nan,automatic,fwd - front-wheel drive,,mazda,cx8,2022.0,Mazda CX8 Luxury 2022 car,40445.43419,petrol,2.5,0.19047619047619047,0.09259259259259259,0.14893617021276595,,0.01849999994501471
3528460,domestic assembly,new car,sedan,0,red,black,4,5,Petrol	1.5 L,nan,automatic,fwd - front-wheel drive,,mazda,3,2022.0,Mazda 3 1.5L Premium 2022,29919.09496,petrol,1.5,0.1111111111111111,0.07407407407407407,0.10638297872340426,,0.013685185129424172
3537684,imported,new car,suv,0,green,black,5,7,Diesel	2.0 L,direct spray,automatic,rfd - rear-wheel drive,8.0,ford,everest,2023.0,Ford Everest Sport 2.0L 4x2 AT 2023,40485.92011,diesel,2.0,0.15079365079365079,0.09259259259259259,0.14893617021276595,4e-05,0.01851851846348343
3538484,imported,new car,hatchback,0,orange,cream,5,5,Petrol	1.5 L,nan,automatic,fwd - front-wheel drive,,toyota,yaris,2023.0,Toyota Yaris G 1.5 AT 2023,27692.36935,petrol,1.5,0.1111111111111111,0.09259259259259259,0.10638297872340426,,0.012666666609070266
3547275,domestic assembly,new car,sedan,0,white,cream,4,5,Petrol	1.4 L,nan,automatic,fwd - front-wheel drive,6.0,hyundai,accent,2023.0,Hyundai Accent 1.4 AT Special 2023,20242.96005,petrol,1.4,0.10317460317460317,0.07407407407407407,0.10638297872340426,3e-05,0.009259259201676851
3551716,domestic assembly,new car,sedan,0,white,cream,4,5,Petrol	1.4 L,nan,automatic,fwd - front-wheel drive,,hyundai,accent,2023.0,Hyundai Accent 1.4 AT Special 2023,21255.10806,petrol,1.4,0.10317460317460317,0.07407407407407407,0.10638297872340426,,0.009722222167969023
3557645,domestic assembly,new car,sedan,0,white,colorful,4,5,Petrol	1.4 L,nan,automatic,fwd - front-wheel drive,,hyundai,accent,2022.0,Hyundai Accent 1.4 AT Special 2022,19757.12901,petrol,1.4,0.10317460317460317,0.07407407407407407,0.10638297872340426,,0.009037036980052158
3557649,domestic assembly,new car,sedan,0,white,colorful,4,5,Petrol	1.4 L,nan,automatic,fwd - front-wheel drive,,hyundai,accent,2022.0,Hyundai Accent 1.4 AT 2022,18664.00917,petrol,1.4,0.10317460317460317,0.07407407407407407,0.10638297872340426,,0.008537036981396599
3566434,imported,used car,suv,0,copper,black,5,7,Petrol	2.7 L,electronic fuel injection,automatic,4wd - four-wheel drive (4wd),10.0,toyota,prado,2013.0,Toyota Prado TXL 2.7L 2013,40485.92011,petrol,2.7,0.20634920634920637,0.09259259259259259,0.14893617021276595,5e-05,0.01851851846348343
3567373,domestic assembly,new car,crossover,0,white,black,5,5,Petrol	1.2 L,nan,automatic,fwd - front-wheel drive,5.0,peugeot,2008,2023.0,Peugeot 2008 GT Line 1.2 AT 2023,34372.54617,petrol,1.2,0.0873015873015873,0.09259259259259259,0.10638297872340426,2.5e-05,0.015722222165557923
3567376,domestic assembly,new car,crossover,0,white,black,5,5,Petrol	1.2 L,nan,automatic,fwd - front-wheel drive,5.0,peugeot,2008,2023.0,Peugeot 2008 Active 1.2 AT 2023,31538.53177,petrol,1.2,0.0873015873015873,0.09259259259259259,0.10638297872340426,2.5e-05,0.014425925872747212
3572225,imported,new car,sedan,0,red,black,4,5,Petrol	1.2 L,nan,automatic,fwd - front-wheel drive,,mitsubishi,attrage,2022.0,Mitsubishi Attrage 1.2 CVT 2022,18825.95285,petrol,1.2,0.0873015873015873,0.07407407407407407,0.10638297872340426,,0.008611111055271497
3572898,domestic assembly,new car,sedan,0,white,black,4,5,Petrol	1.5 L,nan,automatic,fwd - front-wheel drive,,honda,city,2023.0,Honda City RS 1.5 AT 2023 car,24251.06615,petrol,1.5,0.1111111111111111,0.07407407407407407,0.10638297872340426,,0.011092592539228693
3572903,domestic assembly,new car,sedan,0,white,black,4,5,Petrol	1.5 L,nan,automatic,fwd - front-wheel drive,,honda,city,2023.0,Honda City L 1.5 AT 2023 car,23036.48854,petrol,1.5,0.1111111111111111,0.07407407407407407,0.10638297872340426,,0.010537036980592896
3572992,domestic assembly,new car,sedan,0,green,black,4,5,Petrol	1.5 L,nan,automatic,fwd - front-wheel drive,,honda,city,2023.0,Honda City RS 1.5 AT 2023 car,24251.06615,petrol,1.5,0.1111111111111111,0.07407407407407407,0.10638297872340426,,0.011092592539228693
3573431,domestic assembly,new car,suv,0,white,black,5,7,Petrol	2.0 L,nan,automatic,fwd - front-wheel drive,,mitsubishi,outlander,2022.0,Mitsubishi Outlander Premium 2.0 CVT 2022,38461.62411,petrol,2.0,0.15079365079365079,0.09259259259259259,0.14893617021276595,,0.017592592540047212
3574932,imported,new car,suv,0,white,red,5,5,Petrol	1.8 L,electronic fuel injection,automatic,fwd - front-wheel drive,6.0,toyota,corolla cross,2022.0,Toyota Corolla Cross 1.8V 2022,34574.97577,petrol,1.8,0.1349206349206349,0.09259259259259259,0.10638297872340426,3e-05,0.01581481475790154
3582166,imported,new car,suv,0,black,black,5,7,Diesel	2.4 L,nan,automatic,rfd - rear-wheel drive,,mitsubishi,pajero sport,2022.0,Mitsubishi Pajero Sport 2.4D 4x2 AT 2022,40485.92011,diesel,2.4,0.18253968253968253,0.09259259259259259,0.14893617021276595,,0.01851851846348343
